iter	Passed	Remaining
203	2171	8473
204	2181	8459
205	2191	8445
206	2200	8431
207	2210	8416
208	2220	8402
209	2229	8388
210	2239	8375
211	2249	8362
212	2259	8346
213	2268	8332
214	2277	8317
215	2287	8303
216	2297	8290
217	2307	8276
218	2317	8263
219	2326	8249
220	2336	8235
221	2346	8221
222	2355	8208
223	2365	8193
224	2374	8178
225	2383	8162
226	2393	8149
227	2403	8136
228	2411	8119
229	2421	8106
230	2430	8092
231	2440	8080
232	2450	8066
233	2460	8053
234	2469	8039
235	2479	8027
236	2488	8012
237	2498	8000
238	2508	7987
239	2517	7972
240	2527	7960
241	2537	7947
242	2547	7935
243	2557	7922
244	2566	7909
245	2575	7893
246	2585	7881
247	2594	7868
248	2604	7855
249	2614	7842
250	2624	7830
251	2633	7816
252	2643	7804
253	2652	7791
254	2661	7776
255	2671	7762
256	2680	7748
257	2690	7736
258	2698	7721
259	2707	7707
260	2717	7695
261	2726	7680
262	2736	7669
263	2746	7657
264	2756	7645
265	2766	7633
266	2776	7621
267	2785	7608
268	2795	7597
269	2805	7585
270	2816	7576
271	2826	7564
272	2836	7553
273	2846	7541
274	2855	7529
275	2865	7517
276	2875	7505
277	2885	7493
278	2894	7480
279	2904	7469
280	2913	7455
281	2923	7443
282	2933	7431
283	2943	7420
284	2952	7408
285	2963	7397
286	2972	7385
287	2982	7374
288	2992	7361
289	3001	7349
290	3011	7337
291	3021	7326
292	3031	7315
293	3041	7302
294	3053	7297
295	3063	7285
296	3073	7273
297	3082	7261
298	3091	7247
299	3101	7236
300	3111	7224
301	3120	7211
302	3129	7199
303	3140	7190
304	3150	7179
305	3160	7167
306	3170	7156
307	3179	7143
308	3189	7132
309	3198	7119
310	3208	7107
311	3218	7096
312	3228	7085
313	3237	7073
314	3247	7061
315	3256	7049
316	3266	7038
317	3276	7027
318	3286	7015
319	3296	7004
320	3305	6992
321	3315	6981
322	3325	6969
323	3335	6958
324	3344	6945
325	3353	6934
326	3363	6922
327	3373	6911
328	3382	6898
329	3391	6885
330	3401	6874
331	3411	6863
332	3420	6851
333	3431	6842
334	3441	6831
335	3451	6820
336	3460	6808
337	3470	6798
338	3480	6786
339	3490	6775
340	3500	6764
341	3510	6754
342	3519	6741
343	3531	6735
344	3540	6722
345	3550	6711
346	3560	6700
347	3570	6689
348	3579	6677
349	3589	6666
350	3601	6658
351	3611	6647
352	3620	6636
353	3630	6625
354	3639	6612
355	3649	6601
356	3659	6590
357	3668	6579
358	3679	6569
359	3687	6556
360	3697	6545
361	3706	6533
362	3716	6521
363	3725	6509
364	3735	6498
365	3745	6487
366	3754	6476
367	3764	6465
368	3775	6455
369	3784	6444
370	3795	6435
371	3804	6422
372	3814	6411
373	3824	6401
374	3834	6390
375	3844	6379
376	3857	6374
377	3869	6367
378	3879	6356
379	3889	6345
380	3899	6335
381	3909	6324
382	3918	6313
383	3928	6302
384	3938	6291
385	3947	6279
386	3956	6266
387	3966	6256
388	3976	6245
389	3985	6233
390	3995	6222
391	4004	6211
392	4014	6200
393	4024	6189
394	4033	6177
395	4042	6165
396	4051	6153
397	4060	6142
398	4070	6131
399	4080	6120
400	4090	6110
401	4100	6099
402	4110	6088
403	4120	6078
404	4133	6071
405	4142	6061
406	4151	6048
407	4161	6038
408	4170	6026
